HallTicketNo,Name,Branch,Year,Semester,Regulation
23P61A6701,Aarav Reddy,CSE-DS,III,II,R22
23P61A6702,Ananya Sharma,CSE-DS,III,II,R22
23P61A6703,Aditya Gupta,CSE-DS,III,II,R22
23P61A6704,Bhavana Joshi,CSE-DS,III,II,R22
23P61A6705,Chaitanya Mishra,CSE-DS,III,II,R22
23P61A6706,Divya Yadav,CSE-DS,III,II,R22
23P61A6707,Eeshwar Nair,CSE-DS,III,II,R22
23P61A6708,Farhan Raju,CSE-DS,III,II,R22
23P61A6709,Gautam Shetty,CSE-DS,III,II,R22
23P61A6710,Harini Kota,CSE-DS,III,II,R22
23P61A6711,Ishaan Bandari,CSE-DS,III,II,R22
23P61A6712,Javaji Akula,CSE-DS,III,II,R22
23P61A6713,Kavya Thota,CSE-DS,III,II,R22
23P61A6714,Kiran Medisetti,CSE-DS,III,II,R22
23P61A6715,Lokesh Goud,CSE-DS,III,II,R22
23P61A6716,Manasa Chowdary,CSE-DS,III,II,R22
23P61A6717,Nikhil Kumar,CSE-DS,III,II,R22
23P61A6718,Niharika Vadde,CSE-DS,III,II,R22
23P61A6719,Omkar Singh,CSE-DS,III,II,R22
23P61A6720,Pranav Deshmukh,CSE-DS,III,II,R22
23P61A6721,Pooja Bhat,CSE-DS,III,II,R22
23P61A6722,Rahul Verma,CSE-DS,III,II,R22
23P61A6723,Ramya Katta,CSE-DS,III,II,R22
23P61A6724,Sai Koppula,CSE-DS,III,II,R22
23P61A6725,Siddharth Gundeti,CSE-DS,III,II,R22
23P61A6726,Srikanth Erra,CSE-DS,III,II,R22
23P61A6727,Sneha Vemula,CSE-DS,III,II,R22
23P61A6728,Teja Rao,CSE-DS,III,II,R22
23P61A6729,Tharun Varma,CSE-DS,III,II,R22
23P61A6730,Uma Kaur,CSE-DS,III,II,R22
23P61A6731,Varun Naidu,CSE-DS,III,II,R22
23P61A6732,Venkatesh Patel,CSE-DS,III,II,R22
23P61A6733,Yashwanth Kulkarni,CSE-DS,III,II,R22
23P61A6734,Zoya Pillai,CSE-DS,III,II,R22
23P61A6735,Abhinav Prasad,CSE-DS,III,II,R22
23P61A6736,Akhil Mudiraj,CSE-DS,III,II,R22
23P61A6737,Akshaya Bollam,CSE-DS,III,II,R22
23P61A6738,Alekhya Gaddam,CSE-DS,III,II,R22
23P61A6739,Anushree Bandi,CSE-DS,III,II,R22
23P61A6740,Aravind Konduru,CSE-DS,III,II,R22
23P61A6741,Archana Reddy,CSE-DS,III,II,R22
23P61A6742,Ashok Sharma,CSE-DS,III,II,R22
23P61A6743,Bharath Gupta,CSE-DS,III,II,R22
23P61A6744,Charan Joshi,CSE-DS,III,II,R22
23P61A6745,Deepak Mishra,CSE-DS,III,II,R22
23P61A6746,Deepika Yadav,CSE-DS,III,II,R22
23P61A6747,Dinesh Nair,CSE-DS,III,II,R22
23P61A6748,Ganesh Raju,CSE-DS,III,II,R22
23P61A6749,Gayatri Shetty,CSE-DS,III,II,R22
23P61A6750,Gopi Kota,CSE-DS,III,II,R22
23P61A6751,Harish Bandari,CSE-DS,III,II,R22
23P61A6752,Harshitha Akula,CSE-DS,III,II,R22
23P61A6753,Hemanth Thota,CSE-DS,III,II,R22
23P61A6754,Jahnavi Medisetti,CSE-DS,III,II,R22
23P61A6755,Karthik Goud,CSE-DS,III,II,R22
23P61A6756,Keerthi Chowdary,CSE-DS,III,II,R22
23P61A6757,Krishna Kumar,CSE-DS,III,II,R22
23P61A6758,Madhuri Vadde,CSE-DS,III,II,R22
23P61A6759,Manish Singh,CSE-DS,III,II,R22
23P61A6760,Meghana Deshmukh,CSE-DS,III,II,R22
23P61A6761,Mounika Bhat,CSE-DS,III,II,R22
23P61A6762,Naveen Verma,CSE-DS,III,II,R22
23P61A6763,Nisha Katta,CSE-DS,III,II,R22
23P61A6764,Pavan Koppula,CSE-DS,III,II,R22
23P61A6765,Prashanth Gundeti,CSE-DS,III,II,R22
23P61A6766,Pravallika Erra,CSE-DS,III,II,R22
23P61A6767,Preeti Vemula,CSE-DS,III,II,R22
23P61A6768,Rajesh Rao,CSE-DS,III,II,R22
23P61A6769,Rakesh Varma,CSE-DS,III,II,R22
23P61A6770,Rishitha Kaur,CSE-DS,III,II,R22
23P61A6771,Rohit Naidu,CSE-DS,III,II,R22
23P61A6772,Roshni Patel,CSE-DS,III,II,R22
23P61A6773,Sachin Kulkarni,CSE-DS,III,II,R22
23P61A6774,Saikiran Pillai,CSE-DS,III,II,R22
23P61A6775,Sandhya Prasad,CSE-DS,III,II,R22
23P61A6776,Sanjay Mudiraj,CSE-DS,III,II,R22
23P61A6777,Sathvik Bollam,CSE-DS,III,II,R22
